key,Feature,Description,Gene Name,logFC,adj.P.Val
WT vs MT3,ENSG00000178932,"","",-1,0.51
WT vs MT3,ENSG00000260230,"",RP11-526J3.3,-0.06,0.91
WT vs MT3,ENSG00000214941,"zinc finger, SWIM-type containing 7",ZSWIM7,-0.047,0.88
WT vs MT3,ENSG00000178996,sorting nexin 18,SNX18,0.027,0.95
WT vs MT3,ENSG00000160584,SIK family kinase 3,SIK3,-0.12,0.97
WT vs MT3,ENSG00000127124,human immunodeficiency virus type I enhancer binding protein 3,HIVEP3,-0.24,0.79
WT vs MT3,ENSG00000136371,"5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)",MTHFS,-0.2,0.087
WT vs MT3,ENSG00000131653,"TNF receptor-associated factor 7, E3 ubiquitin protein ligase",TRAF7,0.8,0.26
WT vs MT3,ENSG00000122705,"clathrin, light chain A",CLTA,-0.21,0.094
WT vs MT3,ENSG00000197863,zinc finger protein 790,ZNF790,0.027,0.93
WT vs MT3,ENSG00000221500,"small nucleolar RNA, C/D box 100",SNORD100,-0.12,0.94
WT vs MT3,ENSG00000168026,tetratricopeptide repeat domain 21A,TTC21A,-0.047,0.89
WT vs MT3,ENSG00000127863,"tumor necrosis factor receptor superfamily, member 19",TNFRSF19,-0.031,0.96
WT vs MT3,ENSG00000108797,contactin associated protein 1,CNTNAP1,-0.037,0.94
WT vs MT3,ENSG00000186648,leucine rich repeat containing 16B,LRRC16B,-0.053,0.95
WT vs MT3,ENSG00000185561,TLC domain containing 2,TLCD2,0.14,0.33
WT vs MT3,ENSG00000166947,erythrocyte membrane protein band 4.2,EPB42,0.0012,1
WT vs MT3,ENSG00000255135,"",RP11-111M22.3,-0.26,0.54
WT vs MT3,ENSG00000089820,Rho GTPase activating protein 4,ARHGAP4,0.081,0.97
WT vs MT3,ENSG00000059915,pleckstrin and Sec7 domain containing,PSD,-0.2,0.92
WT vs MT3,ENSG00000260948,"",RP11-552M11.8,0.044,0.95
WT vs MT3,ENSG00000169519,methyltransferase like 15,METTL15,0.049,0.86
WT vs MT3,ENSG00000128342,leukemia inhibitory factor,LIF,0.086,0.79
WT vs MT3,ENSG00000211450,chromosome 11 open reading frame 31,C11orf31,-0.035,0.96
WT vs MT3,ENSG00000134684,tyrosyl-tRNA synthetase,YARS,-0.23,0.74
WT vs MT3,ENSG00000118939,ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase),UCHL3,-0.049,0.93
WT vs MT3,ENSG00000131016,A kinase (PRKA) anchor protein 12,AKAP12,0.11,0.8
WT vs MT3,ENSG00000213420,glypican 2,GPC2,-0.069,0.97
WT vs MT3,ENSG00000101193,GID complex subunit 8 homolog (S. cerevisiae),GID8,0.53,0.58
WT vs MT3,ENSG00000012232,exostosin-like glycosyltransferase 3,EXTL3,0.7,0.012
WT vs MT3,ENSG00000127366,"taste receptor, type 2, member 5",TAS2R5,0.09,0.96
WT vs MT3,ENSG00000023318,endoplasmic reticulum protein 44,ERP44,-0.3,0.66
WT vs MT3,ENSG00000001630,"cytochrome P450, family 51, subfamily A, polypeptide 1",CYP51A1,-0.6,0.39
WT vs MT3,ENSG00000181135,zinc finger protein 707,ZNF707,-0.12,0.6
WT vs MT3,ENSG00000071626,DAZ associated protein 1,DAZAP1,0.13,0.58
WT vs MT3,ENSG00000136874,syntaxin 17,STX17,0.048,0.9
WT vs MT3,ENSG00000197472,zinc finger protein 695,ZNF695,0.054,0.97
WT vs MT3,ENSG00000178075,GRAM domain containing 1C,GRAMD1C,0.2,0.78
WT vs MT3,ENSG00000250317,small integral membrane protein 20,SMIM20,-0.18,0.93
WT vs MT3,ENSG00000239665,Uncharacterized protein,RP11-295P9.3,0.044,0.93
WT vs MT3,ENSG00000170515,"proliferation-associated 2G4, 38kDa",PA2G4,-0.43,0.1
WT vs MT3,ENSG00000139697,strawberry notch homolog 1 (Drosophila),SBNO1,-0.19,0.64
WT vs MT3,ENSG00000105479,coiled-coil domain containing 114,CCDC114,-0.36,0.68
WT vs MT3,ENSG00000175348,"TMEM9 domain family, member B",TMEM9B,0.05,0.87
WT vs MT3,ENSG00000142065,ZFP14 zinc finger protein,ZFP14,0.14,0.33
WT vs MT3,ENSG00000114054,"propionyl CoA carboxylase, beta polypeptide",PCCB,-0.0028,1
WT vs MT3,ENSG00000118777,"ATP-binding cassette, sub-family G (WHITE), member 2",ABCG2,-0.064,0.9
WT vs MT3,ENSG00000138161,CUB and zona pellucida-like domains 1,CUZD1,0.034,0.97
WT vs MT3,ENSG00000103351,clusterin associated protein 1,CLUAP1,0.1,0.85
WT vs MT3,ENSG00000198221,MLLT4 antisense RNA 1 (head to head),MLLT4-AS1,-0.077,0.83
WT vs MT3,ENSG00000169020,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E",ATP5I,0.095,0.88
WT vs MT3,ENSG00000125691,ribosomal protein L23,RPL23,-0.44,0.85
WT vs MT3,ENSG00000189045,ankyrin repeat and death domain containing 1B,ANKDD1B,0.11,0.96
WT vs MT3,ENSG00000247134,"",RP11-11N9.4,-0.24,0.87
WT vs MT3,ENSG00000198853,RUN and SH3 domain containing 2,RUSC2,-0.0063,0.99
WT vs MT3,ENSG00000132823,oxidative stress responsive serine-rich 1,OSER1,-0.46,0.69
WT vs MT3,ENSG00000148841,"inositol 1,4,5-trisphosphate receptor interacting protein",ITPRIP,-0.58,0.39
WT vs MT3,ENSG00000225840,"",AC010970.2,0.15,0.95
WT vs MT3,ENSG00000130024,PHD finger protein 10,PHF10,0.42,0.35
WT vs MT3,ENSG00000139405,chromosome 12 open reading frame 52,C12orf52,0.057,0.98
WT vs MT3,ENSG00000204219,"transcription elongation factor A (SII), 3",TCEA3,-0.038,0.92
WT vs MT3,ENSG00000112081,serine/arginine-rich splicing factor 3,SRSF3,-0.2,0.18
WT vs MT3,ENSG00000101745,ankyrin repeat domain 12,ANKRD12,-0.14,0.62
WT vs MT3,ENSG00000154429,"centriole, cilia and spindle-associated protein",CCSAP,0.12,0.88
WT vs MT3,ENSG00000197579,"topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase",TOPORS,-0.042,0.9
WT vs MT3,ENSG00000112365,zinc finger and BTB domain containing 24,ZBTB24,-0.18,0.31
WT vs MT3,ENSG00000161860,synaptonemal complex central element protein 2,SYCE2,-0.064,0.94
WT vs MT3,ENSG00000075303,"solute carrier family 25, member 40",SLC25A40,0.36,0.26
WT vs MT3,ENSG00000196417,zinc finger protein 765,ZNF765,0.55,0.43
WT vs MT3,ENSG00000107731,unc-5 homolog B (C. elegans),UNC5B,-0.28,0.45
WT vs MT3,ENSG00000234072,"",AC074117.10,-0.38,0.35
WT vs MT3,ENSG00000182095,trinucleotide repeat containing 18,TNRC18,0.078,0.91
WT vs MT3,ENSG00000251026,"",RP11-138J23.1,-0.065,0.92
WT vs MT3,ENSG00000102103,polyglutamine binding protein 1,PQBP1,-0.16,0.27
WT vs MT3,ENSG00000196151,"WD repeat, sterile alpha motif and U-box domain containing 1",WDSUB1,-0.16,0.44
WT vs MT3,ENSG00000142867,B-cell CLL/lymphoma 10,BCL10,0.41,0.59
WT vs MT3,ENSG00000085552,"immunoglobulin superfamily, member 9",IGSF9,0.15,0.48
WT vs MT3,ENSG00000198756,collagen beta(1-O)galactosyltransferase 2,COLGALT2,0.9,0.24
WT vs MT3,ENSG00000178409,BEN domain containing 3,BEND3,0.12,0.96
WT vs MT3,ENSG00000147813,nicotinate phosphoribosyltransferase domain containing 1,NAPRT1,-0.57,0.21
WT vs MT3,ENSG00000122068,forty-two-three domain containing 1,FYTTD1,0.54,0.7
WT vs MT3,ENSG00000152443,zinc finger protein 776,ZNF776,0.27,0.86
WT vs MT3,ENSG00000168003,"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2",SLC3A2,0.18,0.89
WT vs MT3,ENSG00000141424,"solute carrier family 39 (zinc transporter), member 6",SLC39A6,0.22,0.57
WT vs MT3,ENSG00000125375,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)",ATP5S,-0.19,0.53
WT vs MT3,ENSG00000186815,two pore segment channel 1,TPCN1,0.074,0.9
WT vs MT3,ENSG00000259812,"",RP11-5N23.3,0.053,0.96
WT vs MT3,ENSG00000168159,ring finger protein 187,RNF187,-0.3,0.57
WT vs MT3,ENSG00000113048,mitochondrial ribosomal protein S27,MRPS27,0.35,0.03
WT vs MT4,ENSG00000083520,DIS3 mitotic control homolog (S. cerevisiae),DIS3,0.18,0.63
WT vs MT4,ENSG00000025156,heat shock transcription factor 2,HSF2,0.11,0.77
WT vs MT4,ENSG00000103042,"solute carrier family 38, member 7",SLC38A7,-0.045,0.96
WT vs MT4,ENSG00000153395,lysophosphatidylcholine acyltransferase 1,LPCAT1,-0.022,0.95
WT vs MT4,ENSG00000184178,sec1 family domain containing 2,SCFD2,0.09,0.7
WT vs MT4,ENSG00000157404,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,KIT,-0.0022,1
WT vs MT4,ENSG00000175198,"propionyl CoA carboxylase, alpha polypeptide",PCCA,0.1,0.83
WT vs MT4,ENSG00000135549,"protein kinase (cAMP-dependent, catalytic) inhibitor beta",PKIB,0.24,0.62
WT vs MT4,ENSG00000100316,ribosomal protein L3,RPL3,0.2,0.056
WT vs MT4,ENSG00000169972,pseudouridylate synthase-like 1,PUSL1,0.025,0.94
WT vs MT4,ENSG00000136824,structural maintenance of chromosomes 2,SMC2,-0.049,0.88
WT vs MT4,ENSG00000107438,PDZ and LIM domain 1,PDLIM1,-0.23,0.64
WT vs MT4,ENSG00000001461,NIPA-like domain containing 3,NIPAL3,0.18,0.35
WT vs MT4,ENSG00000149554,checkpoint kinase 1,CHEK1,-0.63,0.41
WT vs MT4,ENSG00000197930,ERO1-like (S. cerevisiae),ERO1L,0.48,0.036
WT vs MT4,ENSG00000164303,ectonucleotide pyrophosphatase/phosphodiesterase 6,ENPP6,0.31,0.0045
WT vs MT4,ENSG00000106327,transferrin receptor 2,TFR2,0.49,0.014
WT vs MT4,ENSG00000152128,transmembrane protein 163,TMEM163,-0.1,0.89
WT vs MT4,ENSG00000155229,MMS19 nucleotide excision repair homolog (S. cerevisiae),MMS19,0.058,0.93
WT vs MT4,ENSG00000153814,JAZF zinc finger 1,JAZF1,0.22,0.17
WT vs MT4,ENSG00000108055,structural maintenance of chromosomes 3,SMC3,0.2,0.59
WT vs MT4,ENSG00000228393,"",RP11-325F22.3,-0.55,0.17
WT vs MT4,ENSG00000165121,"",RP11-213G2.3,-0.00086,1
WT vs MT4,ENSG00000135905,dedicator of cytokinesis 10,DOCK10,0.28,0.18
WT vs MT4,ENSG00000095059,deoxyhypusine synthase,DHPS,0.23,0.27
WT vs MT4,ENSG00000196154,S100 calcium binding protein A4,S100A4,0.014,0.98
WT vs MT4,ENSG00000165929,"tandem C2 domains, nuclear",TC2N,0.55,0.62
WT vs MT4,ENSG00000175274,tumor protein p53 inducible protein 11,TP53I11,-0.22,0.31
WT vs MT4,ENSG00000168765,glutathione S-transferase mu 4,GSTM4,-0.18,0.36
WT vs MT4,ENSG00000120805,ADP-ribosylation factor-like 1,ARL1,0.081,0.78
WT vs MT4,ENSG00000169299,phosphoglucomutase 2,PGM2,0.12,0.72
WT vs MT4,ENSG00000143727,"acid phosphatase 1, soluble",ACP1,0.074,0.72
WT vs MT4,ENSG00000136279,drebrin-like,DBNL,-0.088,0.89
WT vs MT4,ENSG00000011677,"gamma-aminobutyric acid (GABA) A receptor, alpha 3",GABRA3,-0.067,0.73
WT vs MT4,ENSG00000119280,chromosome 1 open reading frame 198,C1orf198,-0.14,0.6
WT vs MT4,ENSG00000259004,"",RP11-8L8.2,0.55,0.029
WT vs MT4,ENSG00000198258,ubiquitin-like 5,UBL5,-0.37,0.036
WT vs MT4,ENSG00000204435,"casein kinase 2, beta polypeptide",CSNK2B,0.0097,0.99
WT vs MT4,ENSG00000204315,FK506 binding protein like,FKBPL,0.063,0.92
WT vs MT4,ENSG00000063438,aryl-hydrocarbon receptor repressor,AHRR,-0.13,0.79
WT vs MT4,ENSG00000111981,UL16 binding protein 1,ULBP1,0.21,0.15
WT vs MT4,ENSG00000122257,retinoblastoma binding protein 6,RBBP6,-0.43,0.0067
WT vs MT4,ENSG00000168350,"delta(4)-desaturase, sphingolipid 2",DEGS2,-0.12,0.41
WT vs MT4,ENSG00000100823,APEX nuclease (multifunctional DNA repair enzyme) 1,APEX1,0.036,0.94
WT vs MT4,ENSG00000205683,"D4, zinc and double PHD fingers, family 3",DPF3,-0.47,0.051
WT vs MT4,ENSG00000126756,"ubiquitously-expressed, prefoldin-like chaperone",UXT,0.17,0.45
WT vs MT4,ENSG00000229801,"",RP11-353N4.1,0.044,0.97
WT vs MT4,ENSG00000173511,vascular endothelial growth factor B,VEGFB,-0.37,0.054
WT vs MT4,ENSG00000128000,zinc finger protein 780B,ZNF780B,-0.76,0.0072
WT vs MT4,ENSG00000164332,ubiquitin-like domain containing CTD phosphatase 1,UBLCP1,0.022,0.96
WT vs MT4,ENSG00000188643,S100 calcium binding protein A16,S100A16,0.12,0.48
WT vs MT4,ENSG00000142676,ribosomal protein L11,RPL11,0.053,0.9
WT vs MT4,ENSG00000213889,"protein phosphatase, Mg2+/Mn2+ dependent, 1N (putative)",PPM1N,-0.094,0.67
WT vs MT4,ENSG00000133422,MORC family CW-type zinc finger 2,MORC2,0.5,0.038
WT vs MT4,ENSG00000137449,cytoplasmic polyadenylation element binding protein 2,CPEB2,-0.041,0.9
WT vs MT4,ENSG00000114626,ankyrin repeat and BTB (POZ) domain containing 1,ABTB1,0.32,0.51
WT vs MT4,ENSG00000235823,long intergenic non-protein coding RNA 263,LINC00263,0.14,0.7
WT vs MT4,ENSG00000130305,"NOP2/Sun domain family, member 5",NSUN5,-0.08,0.69
WT vs MT4,ENSG00000234630,"",LL22NC03-2H8.4,0.26,0.17
WT vs MT4,ENSG00000213672,NCK interacting protein with SH3 domain,NCKIPSD,0.12,0.62
WT vs MT4,ENSG00000233058,long intergenic non-protein coding RNA 884,LINC00884,-0.11,0.66
WT vs MT4,ENSG00000257727,canopy 2 homolog (zebrafish),CNPY2,0.32,0.27
WT vs MT4,ENSG00000235373,"",RP11-206L10.3,0.045,0.96
WT vs MT4,ENSG00000161036,leucine-rich repeats and WD repeat domain containing 1,LRWD1,-0.18,0.93
WT vs MT4,ENSG00000255200,"",AP003068.18,0.16,0.41
WT vs MT4,ENSG00000186166,coiled-coil domain containing 84,CCDC84,-0.33,0.24
WT vs MT4,ENSG00000068438,FtsJ RNA methyltransferase homolog 1 (E. coli),FTSJ1,0.71,0.0036
WT vs MT4,ENSG00000169714,"CCHC-type zinc finger, nucleic acid binding protein",CNBP,-0.023,0.96
WT vs MT4,ENSG00000168385,septin 2,SEPT2,0.21,0.31
WT vs MT4,ENSG00000126602,TNF receptor-associated protein 1,TRAP1,0.24,0.23
WT vs MT4,ENSG00000133636,neurotensin,NTS,-0.037,0.89
WT vs MT4,ENSG00000150977,Rab interacting lysosomal protein-like 2,RILPL2,0.12,0.31
WT vs MT4,ENSG00000162650,ataxin 7-like 2,ATXN7L2,0.7,0.036
WT vs MT4,ENSG00000107404,dishevelled segment polarity protein 1,DVL1,-0.35,0.094
WT vs MT4,ENSG00000248593,destrin (actin depolymerizing factor) pseudogene 2,DSTNP2,0.14,0.85
WT vs MT4,ENSG00000174749,chromosome 4 open reading frame 32,C4orf32,-0.48,0.16
WT vs MT4,ENSG00000260442,"",RP11-22P6.3,-0.34,0.22
WT vs MT4,ENSG00000241181,"","",-0.53,0.27
WT vs MT4,ENSG00000187531,sirtuin 7,SIRT7,-0.023,0.98
WT vs MT4,ENSG00000162415,"zinc finger, SWIM-type containing 5",ZSWIM5,0.09,0.7
WT vs MT4,ENSG00000205903,zinc finger protein 316,ZNF316,0.16,0.27
WT vs MT4,ENSG00000121680,peroxisomal biogenesis factor 16,PEX16,0.33,0.0021
WT vs MT4,ENSG00000077150,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),NFKB2,-0.14,0.18
WT vs MT4,ENSG00000161542,phosphoribosyl pyrophosphate synthetase-associated protein 1,PRPSAP1,0.17,0.57
WT vs MT4,ENSG00000135390,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)",ATP5G2,-0.053,0.89
WT vs MT4,ENSG00000157657,zinc finger protein 618,ZNF618,0.083,0.61
WT vs MT4,ENSG00000073614,lysine (K)-specific demethylase 5A,KDM5A,-0.34,0.21
WT vs MT4,ENSG00000179933,chromosome 14 open reading frame 119,C14orf119,0.17,0.89
WT vs MT4,ENSG00000106052,Tax1 (human T-cell leukemia virus type I) binding protein 1,TAX1BP1,-0.091,0.43
WT vs MT4,ENSG00000011422,"plasminogen activator, urokinase receptor",PLAUR,0.086,0.77
WT vs MT4,ENSG00000185100,adenylosuccinate synthase like 1,ADSSL1,0.14,0.63
WT vs MT4,ENSG00000147140,"non-POU domain containing, octamer-binding",NONO,0.49,0.025
WT vs MT4,ENSG00000254933,"",RP11-619A14.2,-0.018,0.96
WT vs MT4,ENSG00000112039,"Fanconi anemia, complementation group E",FANCE,0.14,0.74
WT vs MT4,ENSG00000170385,"solute carrier family 30 (zinc transporter), member 1",SLC30A1,0.067,0.86
WT vs MT4,ENSG00000081154,PEST proteolytic signal containing nuclear protein,PCNP,-0.22,0.071
WT vs MT4,ENSG00000081059,"transcription factor 7 (T-cell specific, HMG-box)",TCF7,0.031,0.93
WT vs MT4,ENSG00000163348,pygopus homolog 2 (Drosophila),PYGO2,0.28,0.45
WT vs MT4,ENSG00000132297,HERV-H LTR-associating 1,HHLA1,-0.039,0.93
WT vs MT4,ENSG00000180488,"family with sequence similarity 73, member A",FAM73A,0.096,0.83
WT vs MT4,ENSG00000132466,ankyrin repeat domain 17,ANKRD17,0.34,0.19
WT vs MT4,ENSG00000069869,"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase",NEDD4,0.17,0.18
WT vs MT4,ENSG00000106603,cytochrome c oxidase assembly factor 1 homolog (S. cerevisiae),COA1,-0.11,0.58
WT vs MT4,ENSG00000101310,Sec23 homolog B (S. cerevisiae),SEC23B,-0.13,0.89
WT vs MT4,ENSG00000032389,tumor suppressing subtransferable candidate 1,TSSC1,0.11,0.8
WT vs MT4,ENSG00000198818,SFT2 domain containing 1,SFT2D1,-0.073,0.96
WT vs MT4,ENSG00000101445,"protein phosphatase 1, regulatory subunit 16B",PPP1R16B,-0.15,0.77
WT vs MT4,ENSG00000168004,"HRAS-like suppressor family, member 5",HRASLS5,0.048,0.94
WT vs MT4,ENSG00000138050,THUMP domain containing 2,THUMPD2,0.18,0.18
WT vs MT4,ENSG00000230295,"",RP11-458F8.2,0.12,0.87
WT vs MT4,ENSG00000125841,neurensin 2,NRSN2,0.12,0.7
WT vs MT4,ENSG00000052795,folliculin interacting protein 2,FNIP2,-0.17,0.6
WT vs MT4,ENSG00000167491,GATA zinc finger domain containing 2A,GATAD2A,-0.22,0.24
WT vs MT4,ENSG00000260260,"",RP11-304L19.5,0.36,0.32
WT vs MT4,ENSG00000128973,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant",CLN6,-0.17,0.3
WT vs MT4,ENSG00000081791,KIAA0141,KIAA0141,0.18,0.71
WT vs MT4,ENSG00000140526,abhydrolase domain containing 2,ABHD2,0.018,1
WT vs MT4,ENSG00000233264,"",AC006042.8,0.56,0.17
WT vs MT4,ENSG00000009724,mannan-binding lectin serine peptidase 2,MASP2,0.25,0.41
WT vs MT4,ENSG00000156052,"guanine nucleotide binding protein (G protein), q polypeptide",GNAQ,-0.039,0.88
WT vs MT4,ENSG00000230149,"",RP3-508I15.19,-0.019,0.95
WT vs MT4,ENSG00000160216,1-acylglycerol-3-phosphate O-acyltransferase 3,AGPAT3,0.068,0.89
WT vs MT4,ENSG00000139436,G protein-coupled receptor kinase interacting ArfGAP 2,GIT2,-0.025,0.93
WT vs MT4,ENSG00000082269,"family with sequence similarity 135, member A",FAM135A,0.012,0.98
WT vs MT4,ENSG00000117682,dehydrodolichyl diphosphate synthase,DHDDS,-0.42,0.48
WT vs MT4,ENSG00000187492,cadherin-related family member 4,CDHR4,0.34,0.73
WT vs MT4,ENSG00000241732,"",RP11-38P22.2,0.033,0.98
WT vs MT4,ENSG00000103145,host cell factor C1 regulator 1 (XPO1 dependent),HCFC1R1,-0.54,0.0003
WT vs MT4,ENSG00000172932,"ankyrin repeat domain 13 family, member D",ANKRD13D,0.42,0.53
WT vs MT4,ENSG00000267045,"",AC006126.4,-0.25,0.086
WT vs MT4,ENSG00000230366,Down syndrome critical region gene 9 (non-protein coding),DSCR9,0.48,0.0079
WT vs MT4,ENSG00000182584,actin-like 10,ACTL10,0.35,0.51
WT vs MT4,ENSG00000188994,zinc finger protein 292,ZNF292,0.11,0.78
WT vs MT4,ENSG00000074582,BC1 (ubiquinol-cytochrome c reductase) synthesis-like,BCS1L,-0.051,0.9
WT vs MT4,ENSG00000141556,tubulin folding cofactor D,TBCD,0.43,0.93
WT vs MT4,ENSG00000225880,long intergenic non-protein coding RNA 115,LINC00115,0.18,0.12
WT vs MT4,ENSG00000170776,A kinase (PRKA) anchor protein 13,AKAP13,0.12,0.6
WT vs MT4,ENSG00000261490,"",RP11-448G15.3,0.33,0.035
WT vs MT4,ENSG00000074621,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 1",SLC24A1,-0.24,0.55
WT vs MT4,ENSG00000163606,CD200 receptor 1,CD200R1,-0.13,0.81
WT vs MT4,ENSG00000073146,"Mov10l1, Moloney leukemia virus 10-like 1, homolog (mouse)",MOV10L1,0.09,0.85
WT vs MT4,ENSG00000123870,"zinc finger protein 137, pseudogene",ZNF137P,-0.068,0.81
WT vs MT4,ENSG00000261052,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3",SULT1A3,-0.4,0.014
WT vs MT4,ENSG00000140181,hect domain and RLD 2 pseudogene 2,HERC2P2,0.068,0.87
WT vs MT4,ENSG00000100029,pescadillo ribosomal biogenesis factor 1,PES1,0.018,0.97
WT vs MT4,ENSG00000197006,methyltransferase like 9,METTL9,0.063,0.83
WT vs MT4,ENSG00000163170,bolA homolog 3 (E. coli),BOLA3,-0.27,0.58
WT vs MT4,ENSG00000099968,BCL2-like 13 (apoptosis facilitator),BCL2L13,0.42,0.2
WT vs MT4,ENSG00000164828,Sad1 and UNC84 domain containing 1,SUN1,-0.43,0.47
WT vs MT4,ENSG00000154473,BUB3 mitotic checkpoint protein,BUB3,-0.053,0.88
WT vs MT4,ENSG00000131408,"nuclear receptor subfamily 1, group H, member 2",NR1H2,-0.042,0.92
WT vs MT4,ENSG00000243323,"protein tyrosine phosphatase, receptor type, V, pseudogene",PTPRVP,-0.14,0.77
WT vs MT4,ENSG00000008294,sperm associated antigen 9,SPAG9,-0.1,0.89
WT vs MT4,ENSG00000114698,phospholipid scramblase 4,PLSCR4,0.27,0.083
WT vs MT4,ENSG00000180771,serine/arginine-rich splicing factor 8,SRSF8,0.054,0.96
WT vs MT4,ENSG00000141232,"transducer of ERBB2, 1",TOB1,-0.099,0.86
WT vs MT4,ENSG00000138316,"ADAM metallopeptidase with thrombospondin type 1 motif, 14",ADAMTS14,0.3,0.77
WT vs MT4,ENSG00000131941,"rhophilin, Rho GTPase binding protein 2",RHPN2,0.021,0.98
WT vs MT4,ENSG00000260336,"",RP11-395B7.7,0.23,0.14
WT vs MT4,ENSG00000244687,ubiquitin-conjugating enzyme E2 variant 1,UBE2V1,0.034,0.92
WT vs MT4,ENSG00000196233,ligand dependent nuclear receptor corepressor,LCOR,0.033,0.87
WT vs MT4,ENSG00000109572,"chloride channel, voltage-sensitive 3",CLCN3,0.33,0.34
WT vs MT4,ENSG00000143549,tropomyosin 3,TPM3,-0.16,0.42
WT vs MT4,ENSG00000259583,"",RP11-66B24.4,-0.16,0.83
WT vs MT4,ENSG00000137210,transmembrane protein 14B,TMEM14B,0.032,0.98
WT vs MT4,ENSG00000213066,FGFR1 oncogene partner,FGFR1OP,-0.1,0.89
WT vs MT4,ENSG00000158246,"family with sequence similarity 46, member B",FAM46B,0.1,0.93
WT vs MT4,ENSG00000114503,"nuclear cap binding protein subunit 2, 20kDa",NCBP2,0.22,0.2
WT vs MT4,ENSG00000068976,"phosphorylase, glycogen, muscle",PYGM,-0.14,0.83
WT vs MT4,ENSG00000268584,"",RP11-464F9.20,0.13,0.49
WT vs MT4,ENSG00000110811,leprecan-like 2,LEPREL2,0.42,0.12
WT vs MT4,ENSG00000207650,microRNA 570,MIR570,-0.081,0.84
WT vs MT4,ENSG00000104381,ganglioside induced differentiation associated protein 1,GDAP1,0.14,0.8
WT vs MT4,ENSG00000134597,"RNA binding motif protein, X-linked 2",RBMX2,-0.0049,0.99
WT vs MT4,ENSG00000107968,mitogen-activated protein kinase kinase kinase 8,MAP3K8,-0.039,0.89
WT vs MT4,ENSG00000144674,golgin A4,GOLGA4,-0.071,0.76
WT vs MT4,ENSG00000185203,WASH and IL9R antisense RNA 1,WASIR1,-0.21,0.79
WT vs MT4,ENSG00000158022,"tripartite motif containing 63, E3 ubiquitin protein ligase",TRIM63,0.068,0.93
WT vs MT4,ENSG00000133835,hydroxysteroid (17-beta) dehydrogenase 4,HSD17B4,-0.24,0.14
WT vs MT4,ENSG00000115204,MpV17 mitochondrial inner membrane protein,MPV17,-0.26,0.3
WT vs MT4,ENSG00000169359,"solute carrier family 33 (acetyl-CoA transporter), member 1",SLC33A1,-0.1,0.88
WT vs MT4,ENSG00000172269,dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase),DPAGT1,-0.72,0.21
WT vs MT4,ENSG00000136875,PRP4 pre-mRNA processing factor 4 homolog (yeast),PRPF4,-0.3,0.049
WT vs MT4,ENSG00000139154,AE binding protein 2,AEBP2,0.17,0.63
WT vs MT4,ENSG00000105325,fizzy/cell division cycle 20 related 1 (Drosophila),FZR1,-0.051,0.93
WT vs MT4,ENSG00000259715,"",CTD-3110H11.1,-0.056,0.84
WT vs MT4,ENSG00000157181,chromosome 1 open reading frame 27,C1orf27,-0.23,0.53
WT vs MT4,ENSG00000115649,cyclin Pas1/PHO80 domain containing 1,CNPPD1,0.0055,0.99
WT vs MT4,ENSG00000186094,ATP/GTP binding protein-like 4,AGBL4,0.18,0.64
WT vs MT4,ENSG00000176641,ring finger protein 152,RNF152,-0.11,0.85
WT vs MT4,ENSG00000265688,MAFG antisense RNA 1 (head to head),MAFG-AS1,0.021,0.96
WT vs MT4,ENSG00000162639,HEN1 methyltransferase homolog 1 (Arabidopsis),HENMT1,0.69,0.18
WT vs MT4,ENSG00000128274,"alpha 1,4-galactosyltransferase",A4GALT,-0.15,0.35
WT vs MT4,ENSG00000179010,Morf4 family associated protein 1,MRFAP1,0.37,0.66
WT vs MT4,ENSG00000140807,naked cuticle homolog 1 (Drosophila),NKD1,-0.32,0.47
WT vs MT4,ENSG00000102221,PHD finger protein 16,PHF16,0.12,0.72
WT vs MT4,ENSG00000187726,"DnaJ (Hsp40) homolog, subfamily B, member 13",DNAJB13,0.28,0.35
WT vs MT4,ENSG00000176396,EP300 interacting inhibitor of differentiation 2,EID2,-0.63,0.0016
WT vs MT4,ENSG00000198961,"praja ring finger 2, E3 ubiquitin protein ligase",PJA2,0.053,0.92
WT vs MT4,ENSG00000167306,myosin VB,MYO5B,0.0077,0.98
WT vs MT4,ENSG00000238018,"",AC093110.3,-0.062,0.84
WT vs MT4,ENSG00000166352,chromosome 11 open reading frame 74,C11orf74,-0.14,0.21
